Year;Year (each ant moves once a year on average)
		x
		Amount of food collected
0;0
0;0
1;0
2;0
4;0
5;0
6;1
8;1
9;1
10;2
12;4
13;4
14;5
16;6
17;6
18;6
20;6
21;7
22;7
24;10
25;11
26;12
28;13
29;13
30;14
32;15
33;15
34;15
36;15
37;16
38;17
40;17
41;17
42;18
44;18
45;18
46;19
48;19
49;20
50;20
52;20
53;20
54;20
56;20
57;20
58;20
60;20
61;21
62;21
64;21
65;21
66;22
68;23
69;23
70;23
72;23
73;24
74;24
76;25
77;25
78;25
80;25
81;25
82;25
84;25
85;25
86;25
88;25
89;25
90;25
92;25
93;26
94;26
96;26
97;26
98;26
100;27
101;28
102;29
104;29
105;29
106;29
108;29
109;29
110;29
112;29
113;30
114;30
116;30
117;30
118;30
120;30
121;30
122;31
124;31
125;31
126;31
128;31
129;31
130;31
132;31
133;31
134;31
136;31
137;31
138;32
140;32
141;33
142;33
144;33
145;33
146;33
148;33
149;33
150;33
152;33
153;33
154;33
156;34
157;34
158;34
160;34
161;34
162;34
164;34
165;34
166;34
168;34
169;34
170;34
172;34
173;34
174;34
176;34
177;34
178;34
180;34
181;34
182;34
184;34
185;34
186;34
188;34
189;34
190;34
192;34
193;34
194;34
196;34
197;34
198;34
200;34
201;34
202;34
204;34
205;34
206;34
208;34
209;34
210;34
212;34
213;34
214;34
216;34
217;34
218;34
220;34
221;34
222;34
224;34
225;34
226;34
228;34
229;34
230;34
232;34
233;34
234;34
236;34
237;34
238;34
240;34
241;34
242;34
244;35
245;35
246;35
248;35
249;35
250;37
252;38
253;38
254;38
256;38
257;38
258;38
260;38
261;38
262;38
264;38
265;39
266;39
268;39
269;39
270;40
272;40
273;40
274;40
276;40
277;40
278;40
280;41
281;41
282;41
284;41
285;41
286;41
288;41
289;41
290;41
292;41
293;41
294;41
296;42
297;42
298;42
300;42
301;42
302;42
304;43
305;43
306;43
308;43
309;43
310;43
312;43
313;43
314;43
316;44
317;44
318;44
320;45
321;45
322;45
324;45
325;45
326;45
328;46
329;46
330;46
332;46
333;46
334;46
336;46
337;46
338;46
340;46
341;46
342;46
344;47
345;47
346;47
348;47
349;47
350;48
352;48
353;48
354;49
356;49
357;49
358;49
360;50
361;50
362;50
364;50
365;51
366;51
368;51
369;51
370;52
372;52
373;52
374;52
376;52
377;52
378;52
380;52
381;52
382;52
384;53
385;53
386;54
388;54
389;54
390;54
392;54
393;54
394;54
396;54
397;54
398;54
400;55
401;55
402;55
404;56
405;56
406;56
408;56
409;57
410;57
412;57
413;57
414;57
416;57
417;57
418;58
420;58
421;58
422;58
424;58
425;58
426;58
428;59
429;59
430;59
432;59
433;59
434;59
436;59
437;59
438;60
440;61
441;61
442;61
444;61
445;62
446;63
448;63
449;63
450;64
452;65
453;65
454;65
456;65
457;65
458;65
460;65
461;65
462;65
464;65
465;65
466;65
468;66
469;66
470;67
472;67
473;67
474;67
476;67
477;67
478;67
480;67
481;67
482;67
484;67
485;67
486;68
488;68
489;68
490;68
492;68
493;69
494;70
496;70
497;71
498;71
500;72
501;72
502;72
504;72
505;72
506;73
508;73
509;73
510;73
512;74
513;76
514;76
516;76
517;76
518;76
520;76
521;76
522;76
524;76
525;76
526;77
528;77
529;77
530;77
532;77
533;77
534;77
536;77
537;78
538;78
540;78
541;78
542;78
544;78
545;78
546;79
548;79
549;79
550;79
552;79
553;79
554;79
556;79
557;79
558;79
560;80
561;80
562;81
564;81
565;81
566;81
568;81
569;81
570;81
572;81
573;81
574;81
576;82
577;82
578;84
580;85
581;86
582;86
584;86
585;86
586;86
588;86
589;86
590;87
592;88
593;88
594;88
596;88
597;88
598;88
600;88
601;88
602;88
604;88
605;90
606;90
608;90
609;91
610;91
612;91
613;91
614;91
616;92
617;93
618;94
620;95
621;95
622;95
624;95
625;96
626;96
628;96
629;97
630;98
632;98
633;98
634;99
636;99
637;99
638;99
640;99
641;99
642;99
644;99
645;99
646;99
648;99
649;99
650;99
652;99
653;99
654;99
656;99
657;99
658;99
660;100
661;100
662;101
664;102
665;102
666;103
668;103
669;103
670;104
672;106
673;106
674;106
676;106
677;106
678;106
680;106
681;106
682;106
684;107
685;107
686;107
688;107
689;108
690;108
692;109
693;109
694;110
696;110
697;110
698;111
700;111
701;111
702;112
704;112
705;112
706;113
708;113
709;113
710;113
712;113
713;114
714;114
716;114
717;114
718;114
720;114
721;114
722;114
724;114
725;114
726;114
728;114
729;114
730;114
732;114
733;114
734;114
736;115
737;115
738;115
740;116
741;116
742;116
744;116
745;116
746;116
748;116
749;116
750;116
752;116
753;116
754;116
756;116
757;116
758;116
760;116
761;116
762;116
764;116
765;117
766;118
768;119
769;119
770;119
772;119
773;119
774;119
776;120
777;121
778;121
780;121
781;122
782;122
784;122
785;122
786;122
788;122
789;122
790;122
792;122
793;122
794;122
796;122
797;122
798;122
800;122
801;122
802;122
804;122
805;122
806;122
808;122
809;122
810;122
812;122
813;122
814;122
816;122
817;122
818;122
820;122
821;122
822;122
824;122
825;123
826;123
828;123
829;123
830;123
832;123
833;123
834;124
836;124
837;124
838;124
840;124
841;124
842;124
844;125
845;125
846;125
848;125
849;125
850;126
852;126
853;126
854;126
856;126
