Year;Proportion of swallows perched;Perching probability x 1000
0;0;0
0;0.0;2.0
1;0.25;2.021
2;1.25;2.042
3;1.25;2.063
4;0.5;2.084
5;1.0;2.105
6;1.25;2.126
7;1.0;2.147
8;0.75;2.168
9;0.75;2.189
10;0.5;2.21
11;0.5;2.231
12;0.5;2.252
13;0.25;2.273
14;0.0;2.294
15;0.0;2.315
16;0.25;2.336
17;0.5;2.357
18;0.5;2.378
19;0.25;2.399
20;0.0;2.42
21;1.0;2.441
22;1.25;2.462
23;0.5;2.483
24;0.5;2.504
25;1.25;2.525
26;1.5;2.546
27;1.0;2.567
28;1.25;2.588
29;0.75;2.609
30;0.5;2.63
31;1.0;2.651
32;0.75;2.672
33;0.5;2.693
34;0.75;2.714
35;0.75;2.735
36;1.0;2.756
37;1.25;2.777
38;0.75;2.798
39;0.5;2.819
40;0.75;2.84
41;0.5;2.861
42;0.5;2.882
43;0.5;2.903
44;1.0;2.924
45;1.5;2.945
46;1.25;2.966
47;1.0;2.987
48;1.0;3.008
49;0.5;3.029
50;0.25;3.05
51;0.75;3.071
52;1.0;3.092
53;0.5;3.113
54;0.25;3.134
55;0.25;3.155
56;0.25;3.176
57;0.5;3.197
58;0.5;3.218
59;0.5;3.239
60;0.75;3.26
61;0.5;3.281
62;0.25;3.302
63;0.25;3.323
64;0.0;3.344
65;0.0;3.365
66;0.5;3.386
67;1.0;3.407
68;1.25;3.428
69;0.75;3.449
70;1.0;3.47
71;0.75;3.491
72;1.0;3.512
73;1.5;3.533
74;1.25;3.554
75;1.25;3.575
76;0.75;3.596
77;0.5;3.617
78;1.0;3.638
79;0.75;3.659
80;0.25;3.68
81;0.0;3.701
82;0.5;3.722
83;1.0;3.743
84;1.0;3.764
85;0.5;3.785
86;0.25;3.806
87;0.5;3.827
88;1.0;3.848
89;1.0;3.869
90;1.0;3.89
91;1.25;3.911
92;0.75;3.932
93;0.25;3.953
94;0.75;3.974
95;0.5;3.995
96;0.25;4.016
97;0.0;4.037
98;0.5;4.058
99;1.25;4.079
100;1.25;4.1
101;1.0;4.121
102;1.25;4.142
103;1.0;4.163
104;1.0;4.184
105;1.5;4.205
106;1.0;4.226
107;0.75;4.247
108;1.25;4.268
109;0.75;4.289
110;0.75;4.31
111;1.25;4.331
112;1.0;4.352
113;0.75;4.373
114;0.5;4.394
115;1.25;4.415
116;2.0;4.436
117;2.0;4.457
118;2.0;4.478
119;1.75;4.499
120;1.0;4.52
121;0.75;4.541
122;0.25;4.562
123;0.5;4.583
124;0.5;4.604
125;0.5;4.625
126;1.0;4.646
127;0.75;4.667
128;0.75;4.688
129;1.25;4.709
130;0.75;4.73
131;0.0;4.751
132;0.25;4.772
133;0.25;4.793
134;0.5;4.814
135;1.25;4.835
136;1.25;4.856
137;1.75;4.877
138;2.0;4.898
139;1.5;4.919
140;0.75;4.94
141;0.75;4.961
142;0.75;4.982
143;1.5;5.003
144;1.5;5.024
145;1.5;5.045
146;1.0;5.066
147;1.75;5.087
148;1.75;5.108
149;1.0;5.129
150;0.0;5.15
151;0.75;5.171
152;1.5;5.192
153;0.75;5.213
154;0.25;5.234
155;0.5;5.255
156;0.5;5.276
157;1.0;5.297
158;1.25;5.318
159;1.0;5.339
160;0.75;5.36
161;0.5;5.381
162;0.25;5.402
163;0.0;5.423
164;0.5;5.444
165;0.75;5.465
166;1.0;5.486
167;1.0;5.507
168;0.75;5.528
169;0.5;5.549
170;1.0;5.57
171;1.25;5.591
172;1.25;5.612
173;2.0;5.633
174;2.25;5.654
175;1.5;5.675
176;1.5;5.696
177;2.0;5.717
178;1.75;5.738
179;0.75;5.759
180;0.75;5.78
181;0.75;5.801
182;0.5;5.822
183;0.5;5.843
184;0.75;5.864
185;1.25;5.885
186;1.25;5.906
187;1.0;5.927
188;1.0;5.948
189;0.75;5.969
